,names,good_topic1,good_topic2,good_topic3,good_topic4,good_topic5,good_topic6,bad_topic1,bad_topic2,bad_topic3,bad_topic4,bad_topic5,bad_topic6,main_good_topic,main_bad_topic
33,503 Burger Co,0.01708086,0.0,0.17803845699999998,0.659775275,0.11151621199999999,0.021300595,0.0,0.567953721,0.206091978,0.131409515,0.0,0.08536651199999999,good_topic4,"bad_topic2,bad_topic3,bad_topic4"
34,5Church Atlanta,0.082422171,0.089097645,0.027779082000000004,0.027772353,0.520118043,0.242077042,0.027311396,0.530055519,0.22861526399999998,0.10807711,0.004824927,0.093909109,good_topic5,"bad_topic2,bad_topic3,bad_topic4"
35,6th Ave Bread & Deli,0.32556799399999997,0.41434266799999997,0.21821407199999998,0.032544832999999995,0.0,0.0,0.0,0.619855285,0.23745681300000002,0.0,0.0,0.130235881,good_topic2,"bad_topic2,bad_topic3,bad_topic6"
36,787 Mofongo,0.608396834,0.0,0.032129651,0.0,0.340683794,0.003404598,0.0,0.498169333,0.290735399,0.076232878,0.0,0.12258356599999999,good_topic1,"bad_topic2,bad_topic3,bad_topic6"
37,808 Sunrise Deli,0.145197411,0.235193368,0.296283511,0.037211521000000004,0.259341907,0.01718546,0.0,0.576150219,0.109222767,0.128760467,0.049310029000000005,0.126261448,good_topic3,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
38,87th & Meatballs,0.463850266,0.056701905,0.119186014,0.015155483999999999,0.090319242,0.24517465600000002,0.005852911,0.493635345,0.213769486,0.100402645,0.0,0.17810872600000002,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
39,888 Caffe Express,0.128931199,0.4012945,0.432142845,0.0,0.025037831,0.0,0.041773934,0.567923486,0.256191909,0.0,0.0,0.130216226,good_topic3,"bad_topic2,bad_topic3,bad_topic6"
40,888 Mini Cafe,0.542040946,0.090285053,0.13300548,0.0,0.210393912,0.013323796,0.027103232999999997,0.484458181,0.234788165,0.112772143,0.020146712,0.11602351400000001,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
41,888 Pan Asian Restaurant,0.37895908899999997,0.12512547300000001,0.139079625,0.013490539,0.22007860899999998,0.113202611,0.02333161,0.47929372200000003,0.254859408,0.10879355800000001,0.011004814,0.116197762,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
42,89 Fish & Grill,0.103042109,0.023357705,0.047591960999999995,0.00956909,0.6000577229999999,0.20616542100000002,0.016939241,0.5239551720000001,0.222747182,0.122628235,0.0055602790000000004,0.102647775,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
43,903 Mills Market,0.129435541,0.29690999,0.15210153,0.004305608,0.098098596,0.309392722,0.016099425,0.496279423,0.244767817,0.097602939,0.009845622,0.127822446,good_topic6,"bad_topic2,bad_topic3,bad_topic6"
44,95th Street Grill,0.0,0.155063396,0.086432231,0.26067571100000003,0.39633778,0.08884681900000001,0.0,0.574177831,0.16355721,0.16079970000000002,0.036500651,0.057430552,good_topic5,"bad_topic2,bad_topic3,bad_topic4"
45,A & J Wingburger,0.396549625,0.081070727,0.061814346,0.111753456,0.273247684,0.066326047,0.044982989,0.510308881,0.20012539399999998,0.070281761,0.0,0.165688272,good_topic1,"bad_topic2,bad_topic3,bad_topic6"
46,A Bread Affair,0.305325804,0.24544198899999997,0.357194752,0.0,0.054302727,0.026894395,0.030386342,0.5035895220000001,0.254552818,0.157363852,0.0,0.046006719,good_topic3,"bad_topic2,bad_topic3,bad_topic4"
47,A Common Table,0.42157895,0.275603143,0.09944865900000001,0.0,0.130185037,0.063660466,0.0,0.658138812,0.256676465,0.08123783799999999,0.0,0.0,good_topic1,"bad_topic2,bad_topic3"
48,A Fork In the Road - Norwell,0.18770599899999998,0.22207764,0.230255018,0.0,0.098213193,0.252271116,0.0,0.620028198,0.2503791,0.07534571,0.0,0.047641542,good_topic6,"bad_topic2,bad_topic3"
49,A Royal Affair Cafe,0.482513982,0.10024049300000001,0.21376209,0.0,0.192991489,0.0,0.0,0.606494635,0.19032415,0.127227049,0.0,0.071606107,good_topic1,"bad_topic2,bad_topic3,bad_topic4"
50,A&B Burgers,0.064608818,0.067679203,0.049096364,0.297627256,0.36063188700000004,0.150548404,0.022789487,0.583944307,0.181090809,0.11077660800000001,0.002484228,0.09274782300000001,good_topic5,"bad_topic2,bad_topic3,bad_topic4"
51,A&B Salem,0.00630888,0.059057495,0.090183128,0.45008924899999997,0.209643035,0.175977191,0.026548282000000003,0.564189043,0.176399797,0.113125923,0.00948781,0.104593684,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
52,A&D Buffalo's,0.173334271,0.042764102000000005,0.025564733,0.42201818,0.32996642600000003,0.0,0.0,0.39728018600000004,0.33075246199999997,0.06008920400000001,0.0,0.203932837,good_topic4,"bad_topic2,bad_topic3,bad_topic6"
53,A&W,0.007123655,0.09714534699999999,0.302184709,0.23362751699999998,0.302608504,0.047607115,0.023178311,0.46042675,0.234072384,0.128746265,0.00627629,0.139301324,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
54,A&W Restaurant,0.0282529,0.035451415,0.323692539,0.18362648,0.40720597299999994,0.01061735,0.041846545,0.433830616,0.270874626,0.109395781,0.008355586,0.126512346,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
55,A'port Diner,0.0,0.184479237,0.227065362,0.011452153,0.5443540920000001,0.016965214,0.0,0.428423613,0.314198241,0.037052732000000005,0.0,0.21479062699999998,good_topic5,"bad_topic2,bad_topic3,bad_topic6"
56,ABC Commissary,0.108522824,0.08810315699999999,0.093833001,0.20476473399999998,0.405960615,0.08919695,0.023290971,0.48117575,0.209963343,0.136679582,0.001398731,0.138822134,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
57,AJ on the Rails,0.211482255,0.096225381,0.261432558,0.11213555,0.183663732,0.131646312,0.019617182,0.645691425,0.22202444699999999,0.044869242999999996,0.0,0.064662885,good_topic3,"bad_topic2,bad_topic3"
58,AJ's Press,0.268116137,0.12364725300000001,0.127252756,0.019621995,0.43684705700000004,0.015336965,0.0,0.8091468209999999,0.0,0.182519138,0.0,0.0,good_topic5,"bad_topic2,bad_topic4"
59,APM coffee,0.020376771999999998,0.615656953,0.149074538,0.0,0.076613312,0.125344256,0.0,0.355355591,0.486180474,0.072424608,0.0,0.075173722,good_topic2,"bad_topic2,bad_topic3"
60,ATL DELI,0.0,0.0,0.0,0.34043079600000004,0.641877174,0.0,0.0,0.254410326,0.446091831,0.0,0.0,0.28655833,good_topic5,"bad_topic2,bad_topic3,bad_topic6"
61,ATL Deli,0.077016132,0.031707466000000004,0.117368183,0.602188872,0.156686057,0.0,0.034360478,0.506081089,0.162597065,0.167018643,0.0,0.121460068,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
62,Abel's On the Lake,0.046828968,0.060599981,0.10095281800000001,0.056750141,0.540155594,0.182965538,0.03696458,0.526492993,0.20970332100000003,0.111005076,0.006963987,0.102406237,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
63,Acapulco Mexican Taqueria,0.333362392,0.106401219,0.113024581,0.033192797,0.238492898,0.164488114,0.098806826,0.32791756,0.265943237,0.171103507,0.0,0.130613746,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
64,Ace Burger Bar,0.12293179,0.093430275,0.08935595199999999,0.561761802,0.11517626,0.0,0.041676941,0.6430293220000001,0.16269859,0.081158658,0.0,0.064014875,good_topic4,"bad_topic2,bad_topic3"
65,Ace Ticket Agency,0.0,0.0,0.503284097,0.0,0.121557094,0.36571563,0.0,0.304562002,0.408252209,0.152359784,0.0,0.131637797,good_topic3,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
66,Achilles Art Cafe Coffee Shop,0.06098766,0.42456284299999997,0.149830713,0.00045559800000000004,0.056757495,0.29655477399999997,0.005777485,0.524014076,0.259335522,0.133207598,0.011708962,0.058914891,good_topic2,"bad_topic2,bad_topic3,bad_topic4"
67,Achiote Puerto Rican Restaurant,0.452695079,0.013211355,0.011837035,0.001065261,0.367948166,0.142175851,0.024139894,0.5483202220000001,0.20177526399999998,0.065888639,0.002503197,0.14922018199999998,good_topic1,"bad_topic2,bad_topic3,bad_topic6"
68,Ada's Cafe,0.09787655599999999,0.595914066,0.07313193400000001,0.0,0.153171614,0.06974764900000001,0.015865296,0.570293526,0.173468436,0.078733725,0.0,0.157711245,good_topic2,"bad_topic2,bad_topic3,bad_topic6"
69,Adams Corner Caf̩ & Butcher,0.154808745,0.6412591639999999,0.074440539,0.119464584,0.0,0.0,0.0,0.499193534,0.24051687100000002,0.10745812199999999,0.049723517,0.09893236300000001,good_topic2,"bad_topic2,bad_topic3,bad_topic4"
70,Addy's Sandwich Bar,0.561595276,0.160171972,0.17371178,0.0,0.05055103,0.043062181,0.042824099000000004,0.606576777,0.224932252,0.075846512,0.006270539,0.034616926,good_topic1,"bad_topic2,bad_topic3"
71,Adler's,0.01983904,0.040664116,0.08337291299999999,0.595518955,0.179987135,0.067670518,0.091170616,0.5509664710000001,0.149462973,0.079305944,0.0,0.11963377,good_topic4,"bad_topic2,bad_topic3,bad_topic6"
72,Adonia Tea House,0.10117630300000001,0.527843265,0.087553841,0.0,0.14002024400000002,0.135207515,0.024348436,0.565700158,0.19880731,0.122458821,0.007936208,0.075926272,good_topic2,"bad_topic2,bad_topic3,bad_topic4"
73,AeroJuice,0.176141782,0.604567014,0.027027252999999998,0.0,0.177982382,0.0,0.022943479,0.545379529,0.23529051199999998,0.183807785,0.0,0.0,good_topic2,"bad_topic2,bad_topic3,bad_topic4"
74,Against The Grain,0.198791787,0.0,0.05765818599999999,0.600433012,0.130262097,0.0,0.0,0.448002219,0.36529231100000004,0.130729571,0.0,0.05113887,good_topic4,"bad_topic2,bad_topic3,bad_topic4"
75,Airport Cafe,0.08539803800000001,0.481882387,0.13327824900000002,0.0,0.261863745,0.024222807000000002,0.046280564,0.513513376,0.194763308,0.08660062199999999,0.0,0.15213367,good_topic2,"bad_topic2,bad_topic3,bad_topic6"
76,Aisle 5,0.006300194,0.0,0.09895325599999999,0.0,0.08008143200000001,0.802039582,0.0,0.595664461,0.291418577,0.070806141,0.0,0.033762775,good_topic6,"bad_topic2,bad_topic3"
77,Al Fresco,0.190774958,0.10034113900000001,0.106954025,0.042471441,0.303583376,0.246880878,0.041500433999999996,0.49998253600000003,0.265548191,0.10913636199999999,0.0,0.079979489,good_topic5,"bad_topic2,bad_topic3,bad_topic4"
78,Al's Harvard Square Cafe,0.37577009299999997,0.062338002,0.420649845,0.036293285,0.068118648,0.027509022999999997,0.078984323,0.576188856,0.206319377,0.075107066,0.015745045,0.042452261,good_topic3,"bad_topic2,bad_topic3"
79,Al's South Street Cafe,0.32753208300000003,0.131668876,0.47155175899999996,0.00784925,0.048119722999999996,0.003851554,0.09091588199999999,0.49890417600000003,0.23719965899999998,0.08792387800000001,0.03569252,0.042866337000000004,good_topic3,"bad_topic2,bad_topic3"
80,Al's State Street Cafe,0.3110448,0.10292789,0.495767911,0.007648633,0.062136595999999995,0.011217133999999998,0.07122034599999999,0.471153246,0.238858995,0.096700572,0.037713757,0.07699408099999999,good_topic3,"bad_topic2,bad_topic3"
81,Al's Tech Square Cafe,0.373827511,0.236189325,0.295705377,0.026016788,0.055242199000000006,0.0,0.10829062800000001,0.557787031,0.191726704,0.024758212,0.031225594,0.078533411,good_topic1,"bad_topic1,bad_topic2,bad_topic3"
82,Al's Tradecenter Cafe,0.430061288,0.049374213,0.476399601,0.0,0.033389722000000004,0.002957528,0.119073585,0.550127864,0.141630813,0.080497473,0.0,0.10764023699999999,good_topic3,"bad_topic1,bad_topic2,bad_topic3,bad_topic6"
83,Aladdin's Mediterranean Grill,0.288249297,0.047074223,0.050853382999999995,0.005880843,0.233794859,0.36319740799999994,0.057787065,0.568171127,0.174525307,0.057272551,0.0054172380000000004,0.127358644,good_topic6,"bad_topic2,bad_topic3,bad_topic6"
84,Alba Deli,0.498885709,0.070397471,0.28413701399999997,0.0,0.077009416,0.058767831,0.01849605,0.578032974,0.180028458,0.113690438,0.001030518,0.10331995699999999,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
85,Alchemy Caf̩,0.18238261,0.544034235,0.18230044,0.016446582,0.029765617999999997,0.036659135,0.045443605,0.44763507399999997,0.24915763800000001,0.142092301,0.0,0.10814394,good_topic2,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
86,Alex's Kitchen,0.3731138,0.046535674000000006,0.182093308,0.037201256,0.261821822,0.08981000800000001,0.038058674,0.39282773299999996,0.19952142899999997,0.220098403,0.009317145,0.130647118,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
87,Alexander's Convenient Food Stores,0.06925708900000001,0.207432208,0.625402428,0.006231106,0.042340330999999995,0.040820464,0.0,0.38580636700000004,0.23724132399999998,0.14663673900000002,0.023190383,0.19619685,good_topic3,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
88,Ali Baba's Deli,0.396925563,0.050273757,0.105919919,0.034709928,0.280461736,0.121650429,0.011787533000000001,0.553090557,0.20302076800000002,0.114686925,0.0,0.110865332,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
89,Alive & Kicking Lobsters,0.257293304,0.05742191,0.26921085699999997,0.008059745,0.36269176,0.037407796,0.014029868999999999,0.5782098210000001,0.24228086,0.082681636,0.010440251,0.063783966,good_topic5,"bad_topic2,bad_topic3"
90,All City Subs,0.390243306,0.036689768,0.33607493,0.012747453999999998,0.111131042,0.106032351,0.096261524,0.43351778399999996,0.24883917,0.153031692,0.0,0.06668362,good_topic1,"bad_topic2,bad_topic3,bad_topic4"
91,All Italian Market & Deli,0.347422812,0.07452179099999999,0.28196703300000003,0.0,0.127753599,0.161264761,0.04287523099999999,0.5404485410000001,0.165834631,0.140656552,0.004748219000000001,0.10354251099999999,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
92,All Star Burger,0.03423427,0.05795750400000001,0.139853387,0.567552611,0.112541123,0.076604499,0.025474787999999998,0.6237071679999999,0.152497937,0.10103109699999999,0.008715096,0.079137729,good_topic4,"bad_topic2,bad_topic3,bad_topic4"
93,All Star Sandwich Bar,0.331015839,0.067212171,0.223945457,0.13261604,0.10911724,0.128180312,0.019158101,0.568503702,0.214978908,0.09676395300000001,0.006558024,0.087351725,good_topic1,"bad_topic2,bad_topic3"
94,All-Spice Deli,0.169459415,0.102704136,0.179091293,0.006811818000000001,0.26972171100000003,0.266242813,0.071017839,0.48876115700000006,0.191054836,0.066620387,0.0,0.18178892100000002,good_topic5,"bad_topic2,bad_topic3,bad_topic6"
95,All-Way,0.047702470999999996,0.019876451,0.08480827699999999,0.5315251120000001,0.087836,0.21814516,0.05243567,0.537591249,0.110310595,0.145427495,0.010888729,0.135727892,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
96,AllStar Wings & Ribs,0.03775661,0.013147395,0.134162678,0.09237210400000001,0.313561156,0.39856395,0.024394847,0.52234964,0.222717864,0.097810627,0.008708655,0.117464977,good_topic6,"bad_topic2,bad_topic3,bad_topic6"
97,Allen's Creamery & Coffee House,0.10895927300000001,0.393701178,0.38015266,0.027734309,0.016907606999999998,0.06357800799999999,0.033846296,0.31672327699999997,0.45378994200000006,0.171049087,0.012522139,0.002942077,good_topic2,"bad_topic2,bad_topic3,bad_topic4"
98,Allston Diner,0.11453848900000001,0.5633176870000001,0.124247705,0.038285177000000004,0.100479329,0.049689389,0.016430093,0.559906053,0.21479942300000002,0.097768176,0.0068330809999999995,0.097080578,good_topic2,"bad_topic2,bad_topic3"
99,Alon's,0.270866735,0.22417753199999998,0.353506896,0.004765506,0.07332174400000001,0.065258129,0.030796039,0.5305594889999999,0.25604261899999997,0.08214652,0.002216969,0.091531376,good_topic3,"bad_topic2,bad_topic3"
100,Along Came A Slider,0.277713814,0.040312646,0.137956774,0.431927757,0.03006116,0.077700554,0.0,0.5274359679999999,0.19469761800000002,0.161210236,0.0,0.113922151,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
101,Alvin's Sandwich Shop,0.0,0.0,0.993670285,0.0,0.0,0.0,0.008536278000000001,0.560540587,0.210740838,0.08484834,0.004954608,0.124369845,good_topic3,"bad_topic2,bad_topic3,bad_topic6"
102,Ambrose and Eve,0.250193175,0.08736036800000001,0.024560072999999998,0.033790264,0.387773318,0.208216958,0.0,0.507255707,0.268053667,0.08834434199999999,0.0,0.124970897,good_topic5,"bad_topic2,bad_topic3,bad_topic6"
103,American Bakers Cafe,0.05236468,0.471576795,0.41666538700000005,0.0,0.047093882999999996,0.0,0.017834401,0.739077412,0.16997133899999997,0.055369372,0.0,0.0,good_topic2,"bad_topic2,bad_topic3"
104,American Bakers Coffee,0.02198484,0.477412383,0.42928649,0.0,0.017227127,0.047263136,0.016328583,0.5494596110000001,0.274761963,0.07860375900000001,0.0,0.074652768,good_topic2,"bad_topic2,bad_topic3"
105,American Deli,0.08843289900000001,0.01698114,0.333040995,0.3692993,0.165843845,0.013651901000000001,0.021125485,0.526922931,0.19942296699999998,0.099181521,0.00951509,0.135282443,good_topic4,"bad_topic2,bad_topic3,bad_topic6"
106,American Provisions,0.252829163,0.10389911,0.33570723700000005,0.00764974,0.07600438400000001,0.21450206600000002,0.007747874,0.472028444,0.331476457,0.08694090900000001,0.0,0.09456816900000001,good_topic3,"bad_topic2,bad_topic3"
107,American Provisions Dorchester,0.14712258,0.028144432,0.42745599700000003,0.0,0.226255536,0.16538177199999998,0.0,0.426422109,0.24783372399999998,0.068192599,0.04519398,0.20637708899999999,good_topic3,"bad_topic2,bad_topic3,bad_topic6"
108,American Roadhouse,0.0,0.6194884629999999,0.13604556,0.0,0.23020969300000002,0.0,0.0,0.508045316,0.34888765200000005,0.043651935,0.0,0.09714745,good_topic2,"bad_topic2,bad_topic3"
109,American Sandwich Shop,0.0,0.0,0.0,0.78571403,0.19249750699999998,0.0,0.0,0.453570366,0.253764987,0.0,0.0,0.27680826199999997,good_topic4,"bad_topic2,bad_topic3,bad_topic6"
110,American Social,0.075782537,0.084997235,0.048317220999999994,0.032153425,0.45145130299999997,0.296435097,0.015416079,0.497749259,0.227909799,0.121501216,0.005896811,0.12418429800000001,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
111,Americano Espresso Bar,0.004095817,0.536291978,0.285029658,0.0,0.066871439,0.09426020199999999,0.0,0.38339304399999996,0.398507677,0.18483824,0.0,0.019658299,good_topic2,"bad_topic2,bad_topic3,bad_topic4"
112,Ames Street Deli,0.160946328,0.184615941,0.20028852600000002,0.004924023,0.073356557,0.36753571700000004,0.0,0.431403451,0.392821331,0.102720201,0.0,0.065827604,good_topic6,"bad_topic2,bad_topic3,bad_topic4"
113,Amsterdam Cafe,0.29064780100000004,0.231805925,0.38261441,0.01959934,0.029448078,0.034582978,0.029115058,0.544390401,0.223918952,0.10684543699999999,0.00413187,0.083791028,good_topic3,"bad_topic2,bad_topic3,bad_topic4"
114,Amsterdam Falafelshop,0.410562033,0.079626137,0.12131003,0.165270139,0.015979726,0.199686122,0.0,0.43604168299999996,0.45275062299999996,0.0,0.0,0.103334337,good_topic1,"bad_topic2,bad_topic3,bad_topic6"
115,Ancestry Brewing,0.07942576900000001,0.039448218,0.077318086,0.178903117,0.203945477,0.41032183899999997,0.018466857,0.599710882,0.161424607,0.08264951200000001,0.012194446999999999,0.118055853,good_topic6,"bad_topic2,bad_topic3,bad_topic6"
