,Unnamed: 0,names,good_topic1,good_topic2,good_topic3,good_topic4,good_topic5,good_topic6,bad_topic1,bad_topic2,bad_topic3,bad_topic4,bad_topic5,bad_topic6,main_good_topic,main_bad_topic,business_id
10,10,1831Tavern,0.263452686,0.03803543,0.14199330300000002,0.0,0.234097958,0.31357698100000003,0.0252104,0.5168847839999999,0.1955281,0.172520089,0.0,0.082787149,good_topic6,"bad_topic2,bad_topic3,bad_topic4",5LlmA4qT9tLb_8UuqOfGPw
11,11,1911 Biscuits & Burgers,0.119962167,0.35815910700000003,0.186082833,0.194737144,0.131192847,0.0,0.0,0.735748768,0.0,0.204156086,0.052174743,0.0,good_topic2,"bad_topic2,bad_topic4",DSWncz9dVtMr7nE-6kjjWQ
12,12,2 Chefs and a Table,0.4225139120000001,0.067113008,0.137935231,0.248955965,0.011559851,0.10999811,0.020428666,0.6151637879999999,0.140542751,0.12510838,0.0,0.092017462,good_topic1,"bad_topic2,bad_topic3,bad_topic4",9AjPaPHn68MY7r-CVS7TPA
13,13,21st Amendment,0.064628216,0.018054798,0.131938245,0.089219535,0.230811454,0.454604641,0.031484093,0.547714805,0.231093154,0.076190543,0.021872195,0.083195413,good_topic6,"bad_topic2,bad_topic3",ZrSNKHiKK_PBB6UHx22FaA
14,14,24 Diner,0.013543782,0.50628521,0.143232634,0.17425404,0.155551637,0.0,0.026384387,0.607935578,0.227494072,0.067534869,0.0,0.065927221,good_topic2,"bad_topic2,bad_topic3",-_hDU5WHJ4qRJD5K0BX6Gg
15,15,24th & Meatballs,0.499614402,0.098017744,0.128429607,0.035889915,0.13189294,0.096131159,0.032753625,0.438724142,0.182412204,0.17874193100000002,0.026222949,0.136219843,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",pgJKFMMJvCHJEpSzvdtC6Q
16,16,255 Tapas Lounge,0.042086871,0.011940113,0.169509485,0.040032927,0.348476302,0.375550443,0.012065073,0.509469871,0.279947438,0.090477789,0.0,0.102382203,good_topic6,"bad_topic2,bad_topic3,bad_topic6",JgY7dDFDRLAzqHznyW66kQ
17,17,2N1 Salad Bar and Grill,0.339299966,0.258360715,0.170677566,0.059026996,0.090171169,0.070568622,0.048478991,0.53739055,0.219292872,0.08316238,0.022252575,0.084429152,good_topic1,"bad_topic2,bad_topic3",1tepUnoMCFEVMNE26ijYRQ
18,18,2Twenty2,0.112063189,0.038818403,0.059438207,0.014358184,0.407280192,0.356845751,0.008589435999999999,0.488699582,0.271354095,0.137456715,0.00440006,0.08314892900000001,good_topic5,"bad_topic2,bad_topic3,bad_topic4",EN15n4bu3Sc1KgOiV9mOcA
19,19,2nd Street Cafe,0.298272088,0.253088105,0.343979189,0.0,0.062988146,0.033428526,0.06337584,0.537127715,0.142870147,0.17310122600000002,0.011309987,0.06365782099999999,good_topic3,"bad_topic2,bad_topic3,bad_topic4",ZXYUs_-2rHf6WyG_fnfl3g
20,20,3 Chicks Espresso Cafe,0.078837255,0.540785387,0.231880203,0.015700152,0.08511306199999999,0.035680261,0.0,0.563898742,0.159967735,0.166717857,0.103360854,0.0,good_topic2,"bad_topic2,bad_topic3,bad_topic4,bad_topic5",WzNC44VFyG3v0SgJ-Zch9A
21,22,310 Lakeside,0.102212717,0.140620981,0.023878637,0.024005668,0.528295539,0.170236337,0.027812894,0.467333083,0.232851568,0.13950952,0.009137539,0.117563483,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",ThuhdrxNCJNVmGzVx19MSg
22,23,33 & Melt,0.277472221,0.07646685,0.102819558,0.094613939,0.191036434,0.247701076,0.020131017,0.52093109,0.209420924,0.108254171,0.017151514,0.115489531,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",o3EOOa-Rt--zHmC9RxqiPw
23,24,3350 Poke Cafe,0.5455937829999999,0.116838291,0.041537993,0.083247058,0.203279972,0.0,0.190432958,0.39235431,0.27647683,0.10886215,0.0,0.026836233,good_topic1,"bad_topic1,bad_topic2,bad_topic3,bad_topic4",UOOr9iHcv-UvaUErlvz_OQ
24,25,360 Primo Coffee Shop,0.0,0.214402553,0.603582032,0.0,0.0,0.17604533600000002,0.024685572000000003,0.42104516,0.307017924,0.150856603,0.008336646,0.082567395,good_topic3,"bad_topic2,bad_topic3,bad_topic4",gXYL3BzXGp1zu2hT-wGwEg
25,26,40 Carrots,0.283862779,0.279894226,0.166773638,0.0,0.232610689,0.028208282,0.026373578,0.51359946,0.256671604,0.13551442,0.0,0.058020121,good_topic1,"bad_topic2,bad_topic3,bad_topic4",IOoHRN9QeGusJJlpA5sDZA
26,27,4Corners Tavern,0.15305441,0.032772473,0.027731712,0.107681326,0.41076974,0.257000083,0.00866854,0.544286845,0.23684378600000006,0.109157784,0.005518411,0.08759245800000001,good_topic5,"bad_topic2,bad_topic3,bad_topic4",jTL64IEcaVuJ3R3wHmyTGg
27,28,4th Street Bar & Grill,0.122774704,0.115233732,0.03164959,0.134515583,0.28903916,0.295145732,0.031999974,0.568073022,0.148306322,0.105556905,0.005560359,0.13093122599999998,good_topic6,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",LIoouWv6qRegv7iQfSSqrw
28,29,5 Napkin Burger,0.083391089,0.02042959,0.06864450799999999,0.4623486570000001,0.231137192,0.126686954,0.034700222,0.544061554,0.183388435,0.114704639,0.006632456,0.112396637,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",oBzM3lQ8OJcf3SRf9dRB3g
29,30,5 South Main,0.140285026,0.311533328,0.15742021,0.001564823,0.272961072,0.106123014,0.018449381,0.54331336,0.220403639,0.113210998,0.004888709000000001,0.091935356,good_topic2,"bad_topic2,bad_topic3,bad_topic4",ELC4cy-SB39nSCPU0GPj4Q
30,31,50's Burgers,0.050236341,0.051385212,0.090409198,0.5321232229999999,0.15182679300000002,0.114847322,0.046739894,0.561647935,0.140066385,0.145388256,0.0,0.097894166,good_topic4,"bad_topic2,bad_topic3,bad_topic4",YvzPq836pb0tuQUi6vyRFQ
31,32,50's Diner,0.005404411,0.480748082,0.243332447,0.037043877,0.172494105,0.050987796,0.024643641,0.550462762,0.213452334,0.078651684,0.011555873,0.11337901,good_topic2,"bad_topic2,bad_topic3,bad_topic6",85b1cJytOR0XB8wrBVHKGA
32,33,503 Burger Co,0.01708086,0.0,0.17803845699999998,0.659775275,0.111516212,0.021300595,0.0,0.567953721,0.206091978,0.131409515,0.0,0.08536651199999999,good_topic4,"bad_topic2,bad_topic3,bad_topic4",rZM3wfiDM1XdKme9IGsxAA
33,34,5Church Atlanta,0.082422171,0.089097645,0.027779082000000004,0.027772353,0.520118043,0.242077042,0.027311396,0.530055519,0.228615264,0.10807711,0.004824927,0.093909109,good_topic5,"bad_topic2,bad_topic3,bad_topic4",DTALvZKBJH8XVAKfcQseYQ
34,35,6th Ave Bread & Deli,0.325567994,0.414342668,0.218214072,0.032544832999999995,0.0,0.0,0.0,0.619855285,0.237456813,0.0,0.0,0.130235881,good_topic2,"bad_topic2,bad_topic3,bad_topic6",l5C4LCH4YJEi9MeKO3SfLg
35,36,787 Mofongo,0.608396834,0.0,0.032129651,0.0,0.340683794,0.003404598,0.0,0.498169333,0.290735399,0.076232878,0.0,0.122583566,good_topic1,"bad_topic2,bad_topic3,bad_topic6",JpYP8KN4gaDrjnWPiDEKFA
36,37,808 Sunrise Deli,0.145197411,0.235193368,0.296283511,0.037211521,0.259341907,0.01718546,0.0,0.576150219,0.109222767,0.128760467,0.049310029000000005,0.126261448,good_topic3,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",7o-QFJKcuImVbriz3ZTz-A
37,38,87th & Meatballs,0.463850266,0.056701905,0.119186014,0.015155484,0.090319242,0.245174656,0.005852911,0.493635345,0.213769486,0.100402645,0.0,0.17810872600000002,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",N7NKOcVPspSVFiL4Ys_sUQ
38,39,888 Caffe Express,0.128931199,0.4012945,0.432142845,0.0,0.025037831,0.0,0.041773934,0.567923486,0.256191909,0.0,0.0,0.130216226,good_topic3,"bad_topic2,bad_topic3,bad_topic6",ucjQE-xUHQrGFNx_1BDZ0A
39,40,888 Mini Cafe,0.542040946,0.090285053,0.13300548,0.0,0.210393912,0.013323796,0.027103233,0.484458181,0.234788165,0.112772143,0.020146712,0.116023514,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",E89dktCrksEXjLHTX8QIIg
40,41,888 Pan Asian Restaurant,0.378959089,0.125125473,0.139079625,0.013490539,0.220078609,0.113202611,0.02333161,0.479293722,0.254859408,0.108793558,0.011004814,0.116197762,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",XNrAtQFU4vl9NA8GTlNonA
41,42,89 Fish & Grill,0.103042109,0.023357705,0.047591961,0.00956909,0.6000577229999999,0.206165421,0.016939241,0.5239551720000001,0.222747182,0.122628235,0.005560279,0.102647775,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",zaOrhPuhoA2zPQes-oqSVw
42,43,903 Mills Market,0.129435541,0.29690999,0.15210153,0.004305608,0.098098596,0.309392722,0.016099425,0.496279423,0.244767817,0.097602939,0.009845622,0.127822446,good_topic6,"bad_topic2,bad_topic3,bad_topic6",CZDrW3qZbzd2_gwPtsVcyg
43,44,95th Street Grill,0.0,0.155063396,0.086432231,0.26067571100000003,0.39633778,0.08884681900000001,0.0,0.574177831,0.16355721,0.16079970000000002,0.036500651,0.057430552,good_topic5,"bad_topic2,bad_topic3,bad_topic4",ABeeFC1_PVx9Tb8pYX7oeQ
44,45,A & J Wingburger,0.396549625,0.081070727,0.061814346,0.111753456,0.273247684,0.066326047,0.044982989,0.510308881,0.200125394,0.070281761,0.0,0.165688272,good_topic1,"bad_topic2,bad_topic3,bad_topic6",dRGNcIXqwgFSrig0YK8QYQ
45,46,A Bread Affair,0.305325804,0.245441989,0.357194752,0.0,0.054302727,0.026894395,0.030386342,0.5035895220000001,0.254552818,0.157363852,0.0,0.046006719,good_topic3,"bad_topic2,bad_topic3,bad_topic4",RxiPusKlkh92t6pmhHf99Q
46,47,A Common Table,0.42157895,0.275603143,0.099448659,0.0,0.130185037,0.063660466,0.0,0.658138812,0.256676465,0.08123783799999999,0.0,0.0,good_topic1,"bad_topic2,bad_topic3",eMVRN9EmUqHDw2vYhzTI1Q
47,48,A Fork In the Road - Norwell,0.187705999,0.22207764,0.230255018,0.0,0.098213193,0.252271116,0.0,0.620028198,0.2503791,0.07534571,0.0,0.047641542,good_topic6,"bad_topic2,bad_topic3",O9ngE-QZ_qDRCrVS7LwmXg
48,49,A Royal Affair Cafe,0.482513982,0.100240493,0.21376209,0.0,0.192991489,0.0,0.0,0.606494635,0.19032415,0.127227049,0.0,0.071606107,good_topic1,"bad_topic2,bad_topic3,bad_topic4",YKB2kHsdTRySdiU6oFwO_w
49,50,A&B Burgers,0.064608818,0.067679203,0.049096364,0.297627256,0.360631887,0.150548404,0.022789487,0.583944307,0.181090809,0.110776608,0.002484228,0.092747823,good_topic5,"bad_topic2,bad_topic3,bad_topic4",ioQTwboY0POoIo_QNhrVKA
50,51,A&B Salem,0.00630888,0.059057495,0.090183128,0.450089249,0.209643035,0.175977191,0.026548282000000003,0.564189043,0.176399797,0.113125923,0.00948781,0.104593684,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",K9M0J6OPOUHbojvoPvuXLA
51,52,A&D Buffalo's,0.173334271,0.042764102000000005,0.025564733,0.42201818,0.32996642600000003,0.0,0.0,0.397280186,0.330752462,0.060089204000000014,0.0,0.203932837,good_topic4,"bad_topic2,bad_topic3,bad_topic6",LL1AjT_otpqoRyKc9SG4yw
52,53,A&W,0.007123655,0.097145347,0.302184709,0.233627517,0.302608504,0.047607115,0.023178311,0.46042675,0.234072384,0.128746265,0.00627629,0.139301324,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",Fw3N8werMEw097IWlqZeOQ
53,54,A&W Restaurant,0.0282529,0.035451415,0.323692539,0.18362648,0.407205973,0.01061735,0.041846545,0.433830616,0.270874626,0.109395781,0.008355586,0.126512346,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",Pyr5vZmAM4voLuMoQQ5FYA
54,55,A'port Diner,0.0,0.184479237,0.227065362,0.011452153,0.5443540920000001,0.016965214,0.0,0.428423613,0.314198241,0.037052732000000005,0.0,0.214790627,good_topic5,"bad_topic2,bad_topic3,bad_topic6",goNCrBy62yQ032c5y3qwpw
55,56,ABC Commissary,0.108522824,0.08810315699999999,0.093833001,0.204764734,0.405960615,0.08919695,0.023290971,0.48117575,0.209963343,0.136679582,0.001398731,0.138822134,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",evRCjqRN7chKyw7W8-d5UA
56,57,AJ on the Rails,0.211482255,0.096225381,0.261432558,0.11213555,0.183663732,0.131646312,0.019617182,0.645691425,0.222024447,0.044869243,0.0,0.064662885,good_topic3,"bad_topic2,bad_topic3",KnJ4nubiNOduEBX15Z0Cig
57,58,AJ's Press,0.268116137,0.123647253,0.127252756,0.019621995,0.436847057,0.015336965,0.0,0.8091468209999999,0.0,0.182519138,0.0,0.0,good_topic5,"bad_topic2,bad_topic4",zgW4VYp0pdZlAxp-9Ov-cQ
58,59,APM coffee,0.020376772,0.615656953,0.149074538,0.0,0.076613312,0.125344256,0.0,0.355355591,0.486180474,0.072424608,0.0,0.075173722,good_topic2,"bad_topic2,bad_topic3",AfsNZlHod7C80OdTeJ_coQ
59,60,ATL DELI,0.0,0.0,0.0,0.34043079600000004,0.641877174,0.0,0.0,0.254410326,0.446091831,0.0,0.0,0.28655833,good_topic5,"bad_topic2,bad_topic3,bad_topic6",Ps-6_E3JDyrYWltyA3f1SQ
60,61,ATL Deli,0.077016132,0.031707466000000004,0.117368183,0.602188872,0.156686057,0.0,0.034360478,0.506081089,0.162597065,0.167018643,0.0,0.121460068,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",bflyuONThWdXDsyn40HplQ
61,62,Abel's On the Lake,0.046828968,0.060599981,0.100952818,0.056750141,0.540155594,0.182965538,0.03696458,0.526492993,0.20970332100000005,0.111005076,0.006963987,0.102406237,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",1Aj548eb5DPb9fIF2HW32Q
62,63,Acapulco Mexican Taqueria,0.333362392,0.106401219,0.113024581,0.033192797,0.238492898,0.164488114,0.098806826,0.32791756,0.265943237,0.171103507,0.0,0.130613746,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",2MOCsLOQVLcz0Ymdc6HjAg
63,64,Ace Burger Bar,0.12293179,0.093430275,0.08935595199999999,0.561761802,0.11517626,0.0,0.041676941,0.6430293220000001,0.16269859,0.081158658,0.0,0.064014875,good_topic4,"bad_topic2,bad_topic3",D6Hnv68ZctrMwQe90erKdQ
64,65,Ace Ticket Agency,0.0,0.0,0.503284097,0.0,0.121557094,0.36571563,0.0,0.304562002,0.408252209,0.152359784,0.0,0.131637797,good_topic3,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",0qESDCbuUMzPkEI_5fMsiA
65,66,Achilles Art Cafe Coffee Shop,0.06098766,0.424562843,0.149830713,0.000455598,0.056757495,0.296554774,0.005777485,0.524014076,0.259335522,0.133207598,0.011708962,0.058914891,good_topic2,"bad_topic2,bad_topic3,bad_topic4",VaF22zWe9ixUaGP1e1KSRA
66,67,Achiote Puerto Rican Restaurant,0.452695079,0.013211355,0.011837035,0.001065261,0.367948166,0.142175851,0.024139894,0.5483202220000001,0.201775264,0.065888639,0.002503197,0.14922018199999998,good_topic1,"bad_topic2,bad_topic3,bad_topic6",SfUnsf8ouMb8IWRY5wII-g
67,68,Ada's Cafe,0.097876556,0.595914066,0.07313193400000001,0.0,0.153171614,0.06974764900000001,0.015865296,0.570293526,0.173468436,0.078733725,0.0,0.157711245,good_topic2,"bad_topic2,bad_topic3,bad_topic6",Z98xuYd4naKzOS8pBY4Y3A
68,70,Addy's Sandwich Bar,0.561595276,0.160171972,0.17371178,0.0,0.05055103,0.043062181,0.042824099,0.606576777,0.224932252,0.075846512,0.006270539,0.034616926,good_topic1,"bad_topic2,bad_topic3",OMs_pvRY30JJqo0UJRpq1Q
69,71,Adler's,0.01983904,0.040664116,0.08337291299999999,0.595518955,0.179987135,0.067670518,0.091170616,0.5509664710000001,0.149462973,0.079305944,0.0,0.11963377,good_topic4,"bad_topic2,bad_topic3,bad_topic6",epRM3fvwXAqodt8NTwdqVQ
70,72,Adonia Tea House,0.101176303,0.527843265,0.087553841,0.0,0.14002024400000002,0.135207515,0.024348436,0.565700158,0.19880731,0.122458821,0.007936208,0.075926272,good_topic2,"bad_topic2,bad_topic3,bad_topic4",eP5V-79z6XffdjlccOuLTA
71,73,AeroJuice,0.176141782,0.604567014,0.027027253,0.0,0.177982382,0.0,0.022943479,0.545379529,0.235290512,0.183807785,0.0,0.0,good_topic2,"bad_topic2,bad_topic3,bad_topic4",Ao4MV-bjWPUhx39GoqjnQQ
72,74,Against The Grain,0.198791787,0.0,0.057658185999999986,0.600433012,0.130262097,0.0,0.0,0.448002219,0.365292311,0.130729571,0.0,0.05113887,good_topic4,"bad_topic2,bad_topic3,bad_topic4",Pc93R9VXK0VRWzEkrKiIDw
73,75,Airport Cafe,0.08539803800000001,0.481882387,0.13327824900000002,0.0,0.261863745,0.024222807,0.046280564,0.513513376,0.194763308,0.08660062199999999,0.0,0.15213367,good_topic2,"bad_topic2,bad_topic3,bad_topic6",VlGuTlebXMEqU8GRlG-iaw
74,76,Aisle 5,0.006300194,0.0,0.098953256,0.0,0.08008143200000001,0.802039582,0.0,0.595664461,0.291418577,0.070806141,0.0,0.033762775,good_topic6,"bad_topic2,bad_topic3",tWG4oTk1qgRhRPmkpenA1A
75,77,Al Fresco,0.190774958,0.100341139,0.106954025,0.042471441,0.303583376,0.246880878,0.041500434,0.499982536,0.265548191,0.109136362,0.0,0.079979489,good_topic5,"bad_topic2,bad_topic3,bad_topic4",MP6XiAqgRimv_9gGmg4gew
76,78,Al's Harvard Square Cafe,0.375770093,0.062338002,0.420649845,0.036293285,0.068118648,0.027509023,0.078984323,0.576188856,0.206319377,0.075107066,0.015745045,0.042452261,good_topic3,"bad_topic2,bad_topic3",P5lR-AdqxUC944GJ0Sfd_Q
77,79,Al's South Street Cafe,0.32753208300000003,0.131668876,0.471551759,0.00784925,0.048119723,0.003851554,0.090915882,0.498904176,0.237199659,0.08792387800000001,0.03569252,0.042866337,good_topic3,"bad_topic2,bad_topic3",ma644yqggje5Rdkbu1V5oQ
78,80,Al's State Street Cafe,0.3110448,0.10292789,0.495767911,0.007648633,0.062136596,0.011217133999999998,0.07122034599999999,0.471153246,0.238858995,0.096700572,0.037713757,0.07699408099999999,good_topic3,"bad_topic2,bad_topic3",gq-1gRNvJHz3s4hSSJBisA
79,81,Al's Tech Square Cafe,0.373827511,0.236189325,0.295705377,0.026016788,0.055242199000000006,0.0,0.108290628,0.557787031,0.191726704,0.024758212,0.031225594,0.078533411,good_topic1,"bad_topic1,bad_topic2,bad_topic3",0tEK9_1kztev13eaqzsJsw
80,82,Al's Tradecenter Cafe,0.430061288,0.049374213,0.476399601,0.0,0.033389722000000004,0.002957528,0.119073585,0.550127864,0.141630813,0.080497473,0.0,0.107640237,good_topic3,"bad_topic1,bad_topic2,bad_topic3,bad_topic6",LLHY7Iijd4uysxpNhfB2Rw
81,83,Aladdin's Mediterranean Grill,0.288249297,0.047074223,0.050853383,0.005880843,0.233794859,0.363197408,0.057787065,0.568171127,0.174525307,0.057272551,0.005417238,0.127358644,good_topic6,"bad_topic2,bad_topic3,bad_topic6",MO9omGhnj7wA6cqRMeolog
82,84,Alba Deli,0.498885709,0.070397471,0.284137014,0.0,0.077009416,0.058767831,0.01849605,0.578032974,0.180028458,0.113690438,0.001030518,0.103319957,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",GnY-PE1JBWBI11U_qNnCHQ
83,86,Alex's Kitchen,0.3731138,0.046535674000000006,0.182093308,0.037201256,0.261821822,0.08981000800000001,0.038058674,0.392827733,0.199521429,0.220098403,0.009317145,0.130647118,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",qclRb27sAxIPgdWvvDG9mw
84,87,Alexander's Convenient Food Stores,0.06925708900000001,0.207432208,0.625402428,0.006231106,0.042340331,0.040820464,0.0,0.385806367,0.237241324,0.14663673900000002,0.023190383,0.19619685,good_topic3,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",PmGY8CbsyJs3JJ-qGASAMA
85,88,Ali Baba's Deli,0.396925563,0.050273757,0.105919919,0.034709928,0.280461736,0.121650429,0.011787533,0.553090557,0.203020768,0.114686925,0.0,0.110865332,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",25rbEP1eDuN1MJTmaSmSOg
86,89,Alive & Kicking Lobsters,0.257293304,0.05742191,0.269210857,0.008059745,0.36269176,0.037407796,0.014029869,0.5782098210000001,0.24228086,0.082681636,0.010440251,0.063783966,good_topic5,"bad_topic2,bad_topic3",T5_3LoIuOnilA7Z5sdfGJA
87,90,All City Subs,0.390243306,0.036689768,0.33607493,0.012747453999999998,0.111131042,0.106032351,0.096261524,0.433517784,0.24883917,0.153031692,0.0,0.06668362,good_topic1,"bad_topic2,bad_topic3,bad_topic4",rIA5XZcGmPGYql-qwKMvnw
88,91,All Italian Market & Deli,0.347422812,0.07452179099999999,0.28196703300000003,0.0,0.127753599,0.161264761,0.042875230999999986,0.5404485410000001,0.165834631,0.140656552,0.004748219000000001,0.103542511,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",o69xjihE6tSyMYBtTmGlxQ
89,92,All Star Burger,0.03423427,0.057957504000000014,0.139853387,0.567552611,0.112541123,0.076604499,0.025474788,0.6237071679999999,0.152497937,0.101031097,0.008715096,0.079137729,good_topic4,"bad_topic2,bad_topic3,bad_topic4",-Kyz-sRa-hSN0pTXCZc1BA
90,93,All Star Sandwich Bar,0.331015839,0.067212171,0.223945457,0.13261604,0.10911724,0.128180312,0.019158101,0.568503702,0.214978908,0.096763953,0.006558024,0.087351725,good_topic1,"bad_topic2,bad_topic3",CCG8oASUxEXjpXfThE6D4w
91,94,All-Spice Deli,0.169459415,0.102704136,0.179091293,0.006811818000000001,0.26972171100000003,0.266242813,0.071017839,0.4887611570000001,0.191054836,0.066620387,0.0,0.181788921,good_topic5,"bad_topic2,bad_topic3,bad_topic6",IUUb4qaJyL-pq0-AVARw2g
92,95,All-Way,0.047702471,0.019876451,0.08480827699999999,0.5315251120000001,0.087836,0.21814516,0.05243567,0.537591249,0.110310595,0.145427495,0.010888729,0.135727892,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",zb8vI5BLlZPL9rF7XxEqxw
93,96,AllStar Wings & Ribs,0.03775661,0.013147395,0.134162678,0.092372104,0.313561156,0.39856395,0.024394847,0.52234964,0.222717864,0.097810627,0.008708655,0.117464977,good_topic6,"bad_topic2,bad_topic3,bad_topic6",kXDh6mi4f2pL3DDLdsbniw
94,97,Allen's Creamery & Coffee House,0.108959273,0.393701178,0.38015266,0.027734309,0.016907606999999998,0.06357800799999999,0.033846296,0.316723277,0.4537899420000001,0.171049087,0.012522139,0.002942077,good_topic2,"bad_topic2,bad_topic3,bad_topic4",m-4T4wqzBjD8njJ_GAhKOw
95,98,Allston Diner,0.114538489,0.5633176870000001,0.124247705,0.038285177,0.100479329,0.049689389,0.016430093,0.559906053,0.214799423,0.097768176,0.006833081,0.097080578,good_topic2,"bad_topic2,bad_topic3",WndR5f-9KmnE0vWsaw2Pgg
96,99,Alon's,0.270866735,0.224177532,0.353506896,0.004765506,0.07332174400000001,0.065258129,0.030796039,0.5305594889999999,0.256042619,0.08214652,0.002216969,0.091531376,good_topic3,"bad_topic2,bad_topic3",MmbmSc77aPWqHLeVwi-v6g
97,100,Along Came A Slider,0.277713814,0.040312646,0.137956774,0.431927757,0.03006116,0.077700554,0.0,0.5274359679999999,0.194697618,0.161210236,0.0,0.113922151,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",SIGcX3ekCHMC5xjq98TX5Q
98,101,Alvin's Sandwich Shop,0.0,0.0,0.993670285,0.0,0.0,0.0,0.008536278000000001,0.560540587,0.210740838,0.08484834,0.004954608,0.124369845,good_topic3,"bad_topic2,bad_topic3,bad_topic6",b5PQ5eXom1bU7JQ7syPbwQ
99,102,Ambrose and Eve,0.250193175,0.08736036800000001,0.024560073,0.033790264,0.387773318,0.208216958,0.0,0.507255707,0.268053667,0.08834434199999999,0.0,0.124970897,good_topic5,"bad_topic2,bad_topic3,bad_topic6",KE4nNurWkZpj90vCdoBqgw
